"ID","Ticket status","Organization","Ticket Score","Ticket Criticality","Sentiment","Subject","Requested","Group","Priority","Associated Jira"
"1054618","Requires more info","D360","37","Critical","Slightly Negative","Customers Able to Exceed Daily POS/Online Limits","2025-11-02 17:52","[L2] Advanced Support","High","Yes"
"1037878","Resolved - Awaiting Feedback","GoTyme","37","Critical","Slightly Positive","Outstanding Card Transactions from 2022 due to Missing transactions in DSR","2025-10-07 14:41","[L2] Advanced Support","High","'-"
"1052762","On-hold","Old Mutual Bank / Olympus","36","Critical","Neutral","Mastercard - Identified reports required for Finance Settlement processes_file format","2025-10-29 17:11","[L2] Advanced Support","High","Yes"
"1048061","Escalated Internally","C24","36","Critical","Neutral","Card files missing","2025-10-22 10:46","[L2] Advanced Support","High","Yes"
"1009314","Escalated Internally","Orange Botswana","34","Critical","","OM visa card failure (74323798)","2025-08-18 08:34","[L1] CS - VoucherEngine","Urgent","Yes"
"1048100","Resolved - Awaiting Feedback","MOX","32","Critical","Slightly Negative","Refund not mapped to original purchase","2025-10-22 11:33","[L2] Advanced Support","High","Yes"
"1033312","Awaiting RCA","Wio","32","Critical","Neutral","Disconnection that caused some transactions to declined","2025-10-01 17:44","[L1] CS - Banking.Live","Urgent","Yes"
"1019960","Awaiting RCA","D360","32","Critical","","Mada Transactions declined","2025-09-08 01:43","[L1] CS - Banking.Live","Urgent","'-"
"1009074","Requires more info","D360","32","Critical","Neutral","we need access to the edit package portal","2025-08-17 09:26","[L2] Advanced Support","Urgent","'-"
"1006360","Escalated to AM / TAM","Orange Botswana","32","Critical","","Orange Money Visa cards not working","2025-08-12 09:00","[L1] CS - VoucherEngine","Urgent","Yes"
"1005950","Awaiting RCA","TymeBank SA","32","Critical","","Card creation impacted","2025-08-11 14:07","[L1] CS - Banking.Live","Urgent","Yes"
"1005721","Escalated Third-Party","C24","31","Critical","Slightly Negative","Renewed card showing ""Add to wallet""","2025-08-11 09:56","MeaWallet Support","Normal","'-"
"933756","Escalated Internally","GoTyme","31","Critical","Slightly Positive","Missing Transaction in DSR","2025-03-14 11:27","[L2] Advanced Support","Normal","Yes"
"1077837","Open","GoTyme","30","Critical","Slightly Negative","MOF Additional TransactionType | 121825","2025-12-18 07:59","[L1] CS - VoucherEngine","High","'-"
"1055558","Escalated Internally","GoTyme","30","Critical","","[DSR ISSUE] Detailed Settlement Report Missing transaction lines value Oct 30 2025","2025-11-04 05:26","[L2] Advanced Support","Urgent","Yes"
"1022882","Escalated to AM / TAM","Wio","30","Critical","","Re: Discuss ATM Transaction Issues and settlement","2025-09-12 17:32","[L1] CS - Banking.Live","High","Yes"
"1054521","Awaiting RCA","Wio","29","Critical","Neutral","Mastercard Tansaction Processing Issue November 2nd 2025","2025-11-02 08:47","[L1] CS - Banking.Live","Urgent","'-"
"1035808","Awaiting RCA","D360","29","Critical","","Some transactions were declined due to FAST Active Response failures","2025-10-04 19:31","[L1] CS - Banking.Live","Urgent","'-"
"1032246","Escalated Internally","GoTyme","29","Critical","","Incomple Reversals-0 DOMESTIC Transactions in DSR Sep 27 Report to present","2025-09-30 11:51","[L2] Advanced Support","High","Yes"
"1031495","Escalated to AM / TAM","Wio","29","Critical","","Need to decrypt VISA tokenization encrypted payload","2025-09-29 09:21","[L2] Advanced Support","Urgent","Yes"
"1060642","Awaiting RCA","D360","28","Critical","Slightly Negative","D360 Processing Incident November 13th 2025","2025-11-13 07:20","[L1] CS - Banking.Live","Urgent","'-"
"1049545","Requires more info","GoTyme","28","Critical","Slightly Negative","Incomplete transaction lines on Bancnet DSR Report","2025-10-24 06:05","[L2] Advanced Support","Urgent","Yes"
"1039996","Escalated Internally","Agoda","28","Critical","Slightly Negative","Non-Charge","2025-10-10 05:04","[L2] Advanced Support","Low","Yes"
"1038918","Requires more info","TymeBank SA","28","Critical","Slightly Positive","PIN Try Limit Exceeded Declining on 3rd Invalid PIN not 4th","2025-10-08 16:04","[L2] Advanced Support","High","Yes"
"1050718","Awaiting RCA","Wio","27","Critical","Neutral","full outage","2025-10-26 23:50","[L1] CS - Banking.Live","Urgent","'-"
"1035559","Awaiting RCA","GoTyme","27","Critical","","Service Incident - Error on API issue Virtual Card","2025-10-04 11:29","[L1] CS - Banking.Live","High","'-"
"1023600","Escalated to AM / TAM","GoTyme","27","Critical","Slightly Negative","Load Adjustments Credited to EDA But Are Not Part of Visa Settlement - August 26, 2025","2025-09-15 09:18","[L2] Advanced Support","High","Yes"
"1077107","Open","D360","26","Critical","Slightly Negative","missing perso files","2025-12-16 21:44","[L2] Advanced Support","High","'-"
"1058484","Resolved - Awaiting Feedback","GoTyme","26","Critical","Slightly Negative","[DSR ISSUE] Discrepancy Found in DETAILED SETTLEMENT REPORT (Value Date: Nov 05, 2025)","2025-11-09 14:00","[L2] Advanced Support","Urgent","Yes"
"1047183","Escalated to AM / TAM","GoTyme","26","Critical","","RE: Open items with Paymentology: Double Load Adj / Load but not settled by Visa / Late trigger","2025-10-21 04:13","[L1] CS - VoucherEngine","High","'-"
"1041089","Awaiting RCA","D360","26","Critical","","have an issue with the stack for pink card","2025-10-12 11:39","[L1] CS - Banking.Live","High","'-"
"1079201","Requires more info","D360","25","Critical","Slightly Negative","D360 - Timed out / Dec 21st - INC000000212920","2025-12-21 20:22","[L1] CS - Banking.Live","Urgent","'-"
"1078026","Resolved - Awaiting Feedback","Agoda","25","Critical","Slightly Negative","Increase incindence of Detail Daily Settlement Report","2025-12-18 11:29","[L2] Advanced Support","Urgent","Yes"
"1076433","Open","Wio","25","Critical","Slightly Positive","fraud assesment and remidiation","2025-12-15 12:16","Technical Account Management","High","Yes"
"1056325","Awaiting RCA","Mettle","25","Critical","Slightly Positive","FAST Failure Investigation [05-Nov-2025]","2025-11-05 05:53","[L1] CS - Banking.Live","Urgent","'-"
"1007495","Requires more info","Wio","25","Critical","Neutral","Consistency in trasnactional data.","2025-08-13 16:24","[L2] Advanced Support","Normal","Yes"
"924932","Escalated to AM / TAM","D360","25","Critical","","ARN - Acquiring Reference Number in Search Drop down in PayControl UI","2025-02-24 11:18","Account Management Team","High","'-"
"1080576","Resolved - Awaiting Feedback","D360","24","Critical","Slightly Negative","Monitoring alerts for D360","2025-12-24 14:04","[L2] Advanced Support","High","Yes"
"1053193","Awaiting RCA","D360","24","Critical","","VPN Issue","2025-10-30 09:59","[L1] CS - Banking.Live","Urgent","'-"
"1051304","Resolved - Awaiting Feedback","C24","24","Critical","","Offline PIN not updated after failed tx","2025-10-27 16:55","[L2] Advanced Support","Low","Yes"
"1039540","Awaiting RCA","D360","24","Critical","","Failed to obtain JDBC Connection","2025-10-09 11:50","[L1] CS - Banking.Live","Urgent","'-"
"1038990","Awaiting RCA","D360","24","Critical","","check the auth transactions","2025-10-08 17:12","[L1] CS - Banking.Live","Urgent","'-"
"1038588","Awaiting RCA","D360","24","Critical","","check the auth transactions","2025-10-08 11:41","[L1] CS - Banking.Live","Urgent","'-"
"1032197","Escalated Internally","GoTyme","24","Critical","","Incomple Reversals-0 Transactions in DSR Sep 27 Report to present","2025-09-30 10:55","[L2] Advanced Support","High","Yes"
"1030400","Requires more info","Agoda","24","Critical","","Check cards for settlement and cancel authorizations if not settled","2025-09-26 11:35","[L2] Advanced Support","Urgent","'-"
"1015762","Requires more info","C24","24","Critical","Slightly Positive","Setup for On-behalf PIN Validation in MC Stand-In","2025-08-29 17:49","Technical Account Management","Normal","'-"
"1005948","Awaiting RCA","C24","24","Critical","","Card creation impacted","2025-08-11 14:06","[L1] CS - Banking.Live","Low","'-"
"1082046","Escalated to AM / TAM","GoTyme","23","Critical","Slightly Positive","GoTyme DSR vs EP Report Weekly Reconciliation - Week of Dec 29 2025 -Jan 4, 2026","2025-12-30 08:33","[L2] Advanced Support","Low","Yes"
"1078431","On-hold","Agoda","23","Critical","Slightly Negative","Chargeback report came in different format","2025-12-19 05:47","[L2] Advanced Support","Normal","Yes"
"1076803","Requires more info","GoTyme","23","Critical","Slightly Positive","GoTyme DSR vs EP Report Weekly Reconciliation - Week of Dec 15-21, 2025","2025-12-16 06:49","[L2] Advanced Support","Low","Yes"
"1073844","Open","D360","23","Critical","Slightly Negative","Paymentology Fraud Insights Questionnaire for D360","2025-12-10 11:16","Fraud & Risk","Low","'-"
"1062567","On-hold","GoTyme","23","Critical","Neutral","Invalid Original Amount - 111725","2025-11-17 12:33","[L2] Advanced Support","Normal","Yes"
"1058994","On-hold","GoTyme","23","Critical","Slightly Negative","[DSR ISSUE] Discrepancy Found in DETAILED SETTLEMENT REPORT (Value Date: Nov 08, 2025)","2025-11-10 13:26","[L2] Advanced Support","Urgent","Yes"
"1021048","Escalated Internally","GoTyme","23","Critical","","GoTyme- Visa transaction reversals, specifically TC05 and TC25 codes related to voided transactions from the EasyBills merchant.","2025-09-09 15:56","[L2] Advanced Support","Low","Yes"
"1013483","Awaiting RCA","GoTyme","23","Critical","","Partial Outage of Transaction Processing - 26 August 2025","2025-08-26 06:00","[L1] CS - VoucherEngine","Low","'-"
"1080060","Awaiting RCA","GoTyme","22","Critical","Slightly Positive","Tutuka Egress","2025-12-23 11:22","[L1] CS - VoucherEngine","Urgent","'-"
"1073136","Awaiting RCA","Wio","22","Critical","Neutral","Socket disconnection - WIO","2025-12-09 07:53","[L1] CS - Banking.Live","Urgent","'-"
"1071315","Escalated Third-Party","GoTyme","22","Critical","Slightly Negative","615336516724706 | 120425","2025-12-04 13:14","[L1] CS - VoucherEngine","Normal","'-"
"1048794","Escalated Internally","MOX","22","Critical","","Transactions timeout - MOX","2025-10-23 09:08","[L2] Advanced Support","Low","Yes"
"1041269","Escalated to AM / TAM","D360","22","Critical","","RE: mada - Samsung Pay | D360 | Production Pilot - 7th of oct - WO0000000289083 - CRM #SR00051943","2025-10-12 16:39","[L1] CS - Banking.Live","Low","'-"
"1021015","Escalated to AM / TAM","D360","22","Critical","","Request for Updated BCP Plan, Test Results, and Escalation Matrix","2025-09-09 14:45","[L1] CS - Banking.Live","Urgent","'-"
"945883","Escalated to AM / TAM","D360","22","Critical","","New API Requirement - Wallet PAN to Card Token","2025-04-08 10:44","Account Management Team","Normal","'-"
"1089346","Open","Agoda","21","Critical","Neutral","Re: [Paymentology Support - #1039282] Re: ( EDC failure), ACSG-PO2025002653","2026-01-15 08:34","Account Management Team","High","'-"
"1083118","Awaiting RCA","Nomo Bank","21","Critical","Neutral","High number of transactions returning decision code 91","2026-01-02 16:30","[L1] CS - Banking.Live","High","'-"
"1081568","On-hold","GoTyme","21","Critical","Slightly Positive","Tutuka with error HTTP server returned unexpected status: Service Unavailable","2025-12-29 08:04","[L2] Advanced Support","Normal","Yes"
"1079158","Resolved - Awaiting Feedback","D360","21","Critical","Slightly Negative","Authorization Hold Not Released â€“ Reversal Returned DE39 Code 91","2025-12-21 13:37","[L2] Advanced Support","Normal","'-"
"1079051","Resolved - Awaiting Feedback","D360","21","Critical","Slightly Negative","Multiple ATM Withdrawals Exceeding Daily Limit","2025-12-20 22:31","[L2] Advanced Support","High","Yes"
"1075569","Open","GoTyme","21","Critical","","GoTyme Dec 12 Duplicate Adjustments","2025-12-13 10:52","[L2] Advanced Support","Low","Yes"
"1071317","Escalated Internally","D360","21","Critical","Slightly Negative","VCAS setup for D360 - RiskRequest","2025-12-04 13:16","[L2] Advanced Support","Low","Yes"
"1070392","Escalated to AM / TAM","D360","21","Critical","Slightly Negative","Access Request","2025-12-03 10:43","[L1] CS - Banking.Live","High","'-"
"1065577","Requires more info","GoTyme","21","Critical","Neutral","Google required reporting","2025-11-24 08:26","[L1] CS - VoucherEngine","High","'-"
"1060967","Resolved - Awaiting Feedback","GoTyme","21","Critical","Slightly Negative","[DSR ISSUE] Discrepancy Found in DETAILED SETTLEMENT REPORT (Value Date: Nov 12, 2025)","2025-11-13 13:38","[L2] Advanced Support","Normal","'-"
"1060221","Resolved - Awaiting Feedback","GoTyme","21","Critical","Slightly Negative","[DSR ISSUE] Discrepancy Found in DETAILED SETTLEMENT REPORT (Value Date: Nov 11, 2025)","2025-11-12 12:49","[L2] Advanced Support","Urgent","'-"
"1059588","Open","GoTyme","21","Critical","Slightly Negative","[DSR ISSUE] Discrepancy Found in DETAILED SETTLEMENT REPORT (Value Date: Nov 10, 2025)","2025-11-11 11:20","[L2] Advanced Support","Urgent","Yes"
"1059490","Resolved - Awaiting Feedback","GoTyme","21","Critical","Slightly Negative","[DSR ISSUE] Discrepancy Found in DETAILED SETTLEMENT REPORT (Value Date: Nov 09, 2025)","2025-11-11 09:46","[L2] Advanced Support","Urgent","'-"
"1079879","Requires more info","GoTyme","20","Critical","","GoTyme DSR vs EP Report Weekly Reconciliation - Week of Dec 22-28, 2025","2025-12-23 05:37","[L2] Advanced Support","Low","Yes"
"1078869","Requires more info","D360","20","Critical","Neutral","adding new gateways","2025-12-19 21:46","[L2] Advanced Support","High","Yes"
"1078864","Resolved - Awaiting Feedback","Wio","20","Critical","Slightly Negative","Request for Backup, Recovery, and Data Protection Information","2025-12-19 21:03","[L1] CS - Banking.Live","Low","'-"
"1077662","Requires more info","C24","20","Critical","Slightly Positive","Approving Processor declined authorizations","2025-12-17 17:15","Technical Account Management","Low","'-"
"1075079","Escalated Internally","GoTyme","20","Critical","Neutral","Deduct Adjustment Inquiry","2025-12-12 12:38","[L2] Advanced Support","Low","Yes"
"1066931","Resolved - Awaiting Feedback","D360","20","Critical","Slightly Positive","Visa Reversal not Processed - Fraud Roll Trigger","2025-11-26 15:03","[L1] CS - Banking.Live","Normal","'-"
"1038611","Escalated to AM / TAM","D360","20","Critical","","decreasing the timout to 5 sec","2025-10-08 11:59","[L1] CS - Banking.Live","Low","'-"
"1013491","Awaiting RCA","Agoda","20","Critical","","Partial Outage of Transaction Processing - 26 August 2025","2025-08-26 06:25","[L1] CS - VoucherEngine","Low","'-"
"1013490","Awaiting RCA","Orange Botswana","20","Critical","","Partial Outage of Transaction Processing - 26 August 2025","2025-08-26 06:25","[L1] CS - VoucherEngine","Low","'-"
